,Date,Holiday
0,2010-12-31,New Year's Day
1,2011-01-17,"Birthday of Martin Luther King, Jr."
2,2011-02-21,Washington's Birthday
3,2011-05-30,Memorial Day
4,2011-07-04,Independence Day
5,2011-09-05,Labor Day
6,2011-10-10,Columbus Day
7,2011-11-11,Veterans Day
8,2011-11-24,Thanksgiving Day
9,2011-12-26,Christmas Day
10,2012-01-02,New Year's Day
11,2012-01-16,"Birthday of Martin Luther King, Jr."
12,2012-02-20,Washington's Birthday
13,2012-05-28,Memorial Day
14,2012-07-04,Independence Day
15,2012-09-03,Labor Day
16,2012-10-08,Columbus Day
17,2012-11-12,Veterans Day
18,2012-11-22,Thanksgiving Day
19,2012-12-25,Christmas Day
20,2013-01-01,New Year's Day
21,2013-01-21,"Birthday of Martin Luther King, Jr."
22,2013-02-18,Washington's Birthday
23,2013-05-27,Memorial Day
24,2013-07-04,Independence Day
25,2013-09-02,Labor Day
26,2013-10-14,Columbus Day
27,2013-11-11,Veterans Day
28,2013-11-28,Thanksgiving Day
29,2013-12-25,Christmas Day
30,2014-01-01,New Year's Day
31,2014-01-20,"Birthday of Martin Luther King, Jr."
32,2014-02-17,Washington's Birthday
33,2014-05-26,Memorial Day
34,2014-07-04,Independence Day
35,2014-09-01,Labor Day
36,2014-10-13,Columbus Day
37,2014-11-11,Veterans Day
38,2014-11-27,Thanksgiving Day
39,2014-12-25,Christmas Day
40,2015-01-01,New Year's Day
41,2015-01-19,"Birthday of Martin Luther King, Jr."
42,2015-02-16,Washington's Birthday
43,2015-05-25,Memorial Day
44,2015-07-03,Independence Day
45,2015-09-07,Labor Day
46,2015-10-12,Columbus Day
47,2015-11-11,Veterans Day
48,2015-11-26,Thanksgiving Day
49,2015-12-25,Christmas Day
50,2016-01-01,New Year's Day
51,2016-01-18,"Birthday of Martin Luther King, Jr."
52,2016-02-15,Washington's Birthday
53,2016-05-30,Memorial Day
54,2016-07-04,Independence Day
55,2016-09-05,Labor Day
56,2016-10-10,Columbus Day
57,2016-11-11,Veterans Day
58,2016-11-24,Thanksgiving Day
59,2016-12-26,Christmas Day
60,2017-01-02,New Year's Day
61,2017-01-16,"Birthday of Martin Luther King, Jr."
62,2017-02-20,Washington's Birthday
63,2017-05-29,Memorial Day
64,2017-07-04,Independence Day
65,2017-09-04,Labor Day
66,2017-10-09,Columbus Day
67,2017-11-10,Veterans Day
68,2017-11-23,Thanksgiving Day
69,2017-12-25,Christmas Day
70,2018-01-01,New Year's Day
71,2018-01-15,"Birthday of Martin Luther King, Jr."
72,2018-02-19,Washington's Birthday
73,2018-05-28,Memorial Day
74,2018-07-04,Independence Day
75,2018-09-03,Labor Day
76,2018-10-08,Columbus Day
77,2018-11-12,Veterans Day
78,2018-11-22,Thanksgiving Day
79,2018-12-25,Christmas Day
80,2019-01-01,New Year's Day
81,2019-01-21,"Birthday of Martin Luther King, Jr."
82,2019-02-18,Washington's Birthday
83,2019-05-27,Memorial Day
84,2019-07-04,Independence Day
85,2019-09-02,Labor Day
86,2019-10-14,Columbus Day
87,2019-11-11,Veterans Day
88,2019-11-28,Thanksgiving Day
89,2019-12-25,Christmas Day
90,2020-01-01,New Year's Day
91,2020-01-20,"Birthday of Martin Luther King, Jr."
92,2020-02-17,Washington's Birthday
93,2020-05-25,Memorial Day
94,2020-07-03,Independence Day
95,2020-09-07,Labor Day
96,2020-10-12,Columbus Day
97,2020-11-11,Veterans Day
98,2020-11-26,Thanksgiving Day
99,2020-12-25,Christmas Day
100,2010-01-01,New Year’s Day
101,2010-01-18,"Martin Luther King, Jr. Day"
102,2010-02-15,Washington’s Birthday
103,2010-05-31,Memorial Day
104,2010-07-05,Independence Day
105,2010-09-06,Labor Day
106,2010-10-11,Columbus Day
107,2010-11-11,Veterans Day
108,2010-11-25,Thanksgiving Day
109,2010-12-25,Christmas Day
110,2009-01-01,New Year’s Day
111,2009-01-19,"Martin Luther King, Jr. Day"
112,2009-02-16,Washington’s Birthday
113,2009-05-25,Memorial Day
114,2009-07-03,Independence Day
115,2009-09-07,Labor Day
116,2009-10-12,Columbus Day
117,2009-11-11,Veterans Day
118,2009-11-26,Thanksgiving Day
119,2009-12-25,Christmas Day
120,2008-01-01,New Year’s Day
121,2008-01-21,"Martin Luther King, Jr. Day"
122,2008-02-18,Washington’s Birthday
123,2008-05-26,Memorial Day
124,2008-07-04,Independence Day
125,2008-09-01,Labor Day
126,2008-10-13,Columbus Day
127,2008-11-11,Veterans Day
128,2008-11-27,Thanksgiving Day
129,2008-12-25,Christmas Day
130,2007-01-01,New Year’s Day
131,2007-01-15,"Martin Luther King, Jr. Day"
132,2007-02-19,Washington’s Birthday
133,2007-05-28,Memorial Day
134,2007-07-04,Independence Day
135,2007-09-03,Labor Day
136,2007-10-08,Columbus Day
137,2007-11-11,Veterans Day
138,2007-11-22,Thanksgiving Day
139,2007-12-25,Christmas Day
140,2006-01-01,New Year’s Day
141,2006-01-16,"Martin Luther King, Jr. Day"
142,2006-02-20,Washington’s Birthday
143,2006-05-29,Memorial Day
144,2006-07-04,Independence Day
145,2006-09-04,Labor Day
146,2006-10-09,Columbus Day
147,2006-11-11,Veterans Day
148,2006-11-23,Thanksgiving Day
149,2006-12-25,Christmas Day
150,2005-01-01,New Year’s Day
151,2005-01-17,"Martin Luther King, Jr. Day"
152,2005-02-21,Washington’s Birthday
153,2005-05-30,Memorial Day
154,2005-07-04,Independence Day
155,2005-09-05,Labor Day
156,2005-10-10,Columbus Day
157,2005-11-11,Veterans Day
158,2005-11-24,Thanksgiving Day
159,2005-12-25,Christmas Day
160,2004-01-01,New Year’s Day
161,2004-01-19,"Martin Luther King, Jr. Day"
162,2004-02-16,Washington’s Birthday
163,2004-05-31,Memorial Day
164,2004-07-04,Independence Day
165,2004-09-06,Labor Day
166,2004-10-11,Columbus Day
167,2004-11-11,Veterans Day
168,2004-11-25,Thanksgiving Day
169,2004-12-25,Christmas Day
170,2003-01-01,New Year’s Day
171,2003-01-20,"Martin Luther King, Jr. Day"
172,2003-02-17,Washington’s Birthday
173,2003-05-26,Memorial Day
174,2003-07-04,Independence Day
175,2003-09-01,Labor Day
176,2003-10-13,Columbus Day
177,2003-11-11,Veterans Day
178,2003-11-27,Thanksgiving Day
179,2003-12-25,Christmas Day
180,2002-01-01,New Year’s Day
181,2002-01-21,"Martin Luther King, Jr. Day"
182,2002-02-18,Washington’s Birthday
183,2002-05-27,Memorial Day
184,2002-07-04,Independence Day
185,2002-09-02,Labor Day
186,2002-10-14,Columbus Day
187,2002-11-11,Veterans Day
188,2002-11-28,Thanksgiving Day
189,2002-12-25,Christmas Day
190,2001-01-01,New Year’s Day
191,2001-01-15,"Martin Luther King, Jr. Day"
192,2001-02-19,Washington’s Birthday
193,2001-05-28,Memorial Day
194,2001-07-04,Independence Day
195,2001-09-03,Labor Day
196,2001-10-08,Columbus Day
197,2001-11-11,Veterans Day
198,2001-11-22,Thanksgiving Day
199,2001-12-25,Christmas Day
200,2000-01-01,New Year’s Day
201,2000-01-17,"Martin Luther King, Jr. Day"
202,2000-02-21,Washington’s Birthday
203,2000-05-29,Memorial Day
204,2000-07-04,Independence Day
205,2000-09-04,Labor Day
206,2000-10-09,Columbus Day
207,2000-11-11,Veterans Day
208,2000-11-23,Thanksgiving Day
209,2000-12-25,Christmas Day
210,1999-01-01,New Year’s Day
211,1999-01-18,"Martin Luther King, Jr. Day"
212,1999-02-15,Washington’s Birthday
213,1999-05-31,Memorial Day
214,1999-07-04,Independence Day
215,1999-09-06,Labor Day
216,1999-10-11,Columbus Day
217,1999-11-11,Veterans Day
218,1999-11-25,Thanksgiving Day
219,1999-12-25,Christmas Day
220,1998-01-01,New Year’s Day
221,1998-01-19,"Martin Luther King, Jr. Day"
222,1998-02-16,Washington’s Birthday
223,1998-05-25,Memorial Day
224,1998-07-04,Independence Day
225,1998-09-07,Labor Day
226,1998-10-12,Columbus Day
227,1998-11-11,Veterans Day
228,1998-11-26,Thanksgiving Day
